id,"title","author"
13688,"The Young Alaskans on the Missouri","Emerson Hough"
13689,"The Ladies Book of Useful Information","Anonymous"
13690,"Amy Harrison","Amy Harrison"
13691,"Youth","Leo Tolstoy"
13692,"Panther Eye","Roy J. Snell"
13693,"The Cookery Blue Book","Society for Christian Work of the First Unitarian Church, San"
13694,"New York Times Current History; The European War, Vol 2, No. 4, July, 1915","Various"
13695,"The Care of Books","John Willis Clark"
13696,"Vice in its Proper Shape","Anonymous"
13697,"The Idiot, by Fyodor Dostoyevsky","Fyodor Dostoyevsky"
13698,"Complete Story of the San Francisco Horror","Richard Linthicum"
13699,"Uncle Sam's Boys as Lieutenants","H. Irving Hancock"
13700,"Ancient America, in Notes on American Archaeology","John D. Baldwin"
13701,"Separation and Service","James Hudson Taylor"
13702,"Punch, or the London Charivari, Volume 104, January 7, 1893","Various"
13703,"Laboulaye's Fairy Book","Various"
13704,"A Humorous History of England","C. Harrison"
13705,"Dorothy on a Ranch","Evelyn Raymond"
13706,"Villa Rubein and Other Stories","John Galsworthy"
13707,"The Two Great Retreats of History","George Grote"
13708,"The Unknown Wrestler","H. A. (Hiram Alfred) Cody"
13709,"The Hero of Garside School","J. Harwood Panting"
13710,"No Clue","James Hay"
13711,"Miracles and Supernatural Religion","James Morris Whiton"
13712,"Tudor and Stuart Love Songs","Various"
13713,"Fairy Prince and Other Stories","Eleanor Hallowell Abbott"
13714,"Main Street and Other Poems","Alfred Joyce Kilmer"
13715,"St. Martin's Summer","Rafael Sabatini"
13716,"Buchanan's Journal of Man, June 1887","Various"
13717,"Penguin Persons & Peppermints","Walter Prichard Eaton"
13718,"An Arrow in a Sunbeam","Various"
13719,"A Budget of Paradoxes, Volume II (of II)","Augustus de Morgan"
13720,"The Children of Wilton Chase","Mrs. L. T. Meade"
13721,"A Room With A View","E. M. Forster"
13722,"Peak's Island","Ford Paul"
13723,"Life and sport in China","Oliver G. Ready"
13724,"Fil and Filippa","John Stuart Thomson"
13725,"The Naval History of the United States","Willis J. Abbot"
13726,"A Sheaf of Corn","Mary E. Mann"
13727,"The Life of Gordon, Volume I","Demetrius Charles Boulger"
13728,"Back Home","Eugene Wood"
13729,"The Convert","Elizabeth Robins"
13730,"Great Men and Famous Women. Vol. 1 of 8","Various"
13731,"Great Men and Famous Women. Vol. 2 of 8","Various"
13732,"Great Men and Famous Women. Vol. 3 of 8","Various"
13733,"Great Men and Famous Women. Vol. 4 of 8","Various"
13734,"Microcosmography","John Earle"
13735,"Nagualism","Daniel G. Brinton"
13736,"Cardinal Newman as a Musician","Edward Bellasis"
13737,"Nights With Uncle Remus","Joel Chandler Harris"
13738,"The History of John Bull","John Arbuthnot"
13739,"Essay on the Creative Imagination","Th. Ribot"
13740,"Children of Our Town","Carolyn Wells"
13741,"Blackwood's Edinburgh Magazine, Volume 62, Number 385. November, 1847.","Various"
13742,"The Boys of Crawford's Basin","Sidford F. Hamp"
13743,"The Rubaiyat of a Huffy Husband","Mary B. Little"
13744,"Are the Effects of Use and Disuse Inherited?","William Platt Ball"
13745,"The Quarterly Review, Volume 162, No. 324, April, 1886","Various"
13746,"Isaac Bickerstaff","Richard Steele"
13747,"Fire Prevention and Fire Extinction","James Braidwood"
13748,"Humanity in the City","E. H. Chapin"
13749,"True to His Home","Hezekiah Butterworth"
13750,"Songs from the Southland","Various"
13751,"The Trial and Execution, for Petit Treason, of Mark and Phillis, Slaves of Capt. John Codman","Abner Cheney Goodell, Jr."
13752,"The Strange Case of Mortimer Fenley","Louis Tracy"
13753,"The Dragon of Wantley","Owen Wister"
13754,"Rambles of an Archaeologist Among Old Books and in Old Places","Frederick William Fairholt"
13755,"The Second Funeral of Napoleon","William Makepeace Thackeray (AKA \"Michael Angelo Titmarch\")"
13756,"The Story of Paris","Thomas Okey"
13757,"A Stable for Nightmares","J. Sheridan Le Fanu"
13758,"Punch, or the London Charivari, Volume 104, May 6, 1893","Various"
13759,"A History of Lumsden's Battery, C.S.A.","George Little"
13760,"New observations on the natural history of bees","Francis Huber"
13761,"John Leech's Pictures of Life and Character","William Makepeace Thackeray"
13762,"Life and Letters of Lord Macaulay","George Otto Trevelyan"
13763,"The Arts of Persia","H. Kevorkian"
13764,"Some Naval Yarns","Mordaunt Hall"
13765,"The Boy Scouts Book of Campfire Stories","Various"
13766,"Observations on the Florid Song","Pier Francesco Tosi"
13767,"The Wallypug in London","G. E. Farrow"
13768,"George Cruikshank","William Makepeace Thackeray"
13769,"The Romance of Mathematics","P. Hampson"
13770,"Madeline Payne, the Detective's Daughter","Lawrence L. Lynch"
13771,"Blackwood's Edinburgh Magazine, Volume 61, No. 380, June, 1847","Various"
13772,"The Making of Bobby Burnit","George Randolph Chester"
13773,"The Dukeries","R. Murray Gilchrist"
13774,"Little Lucy's Wonderful Globe","Charlotte M. Yonge"
13775,"Lord Milner's Work in South Africa","W. Basil Worsfold"
13776,"The Sand-Hills of Jutland","Hans Christian Andersen"
13777,"Studies of American Fungi. Mushrooms, Edible, Poisonous, etc.","George Francis Atkinson"
13778,"The Life of Gordon, Volume II","Demetrius Charles Boulger"
13779,"Vera","Oscar Wilde"
13780,"A System Of Logic, Ratiocinative And Inductive (Vol. 1 of 2)","John Stuart Mill"
13781,"Rembrandt's Etching Technique: An Example","Peter Morse"
13782,"Bertie and the Gardeners","Madeline Leslie"
13783,"Peter Cooper","Rossiter W. Raymond"
13784,"The Jucklins","Opie Read"
13785,"The Life and Death of Cormac the Skald","Unknown"
13786,"Anecdotes of Dogs","Edward Jesse"
13787,"Speeches of His Majesty Kamehameha IV. To the Hawaiian Legislature","Kamehameha IV"
13788,"The Old Hanging Fork and Other Poems","George W. Doneghy"
13789,"The Future of the American Negro","Booker T. Washington"
13790,"The Memoirs of General P. H. Sheridan, Vol. 1","General Philip Henry Sheridan"
13791,"Description of a New Vespertilionine Bat from Yucatan","Joel Asaph Allen"
13792,"A Spelling-Book for Advanced Classes","William T. Adams"
13793,"The Iron Pirate","Max Pemberton"
13794,"The Log of the Sun","William Beebe"
13795,"Mary Jane's City Home","Clara Ingram Judson"
13796,"Journal of an American Prisoner at Fort Malden and Quebec in the War of 1812","James Reynolds"
13797,"To Love","Margaret Peterson"
13798,"The Memoirs of General P. H. Sheridan, Vol. 2","General Philip Henry Sheridan"
13799,"The Fighting Edge","William MacLeod Raine"
13800,"Earthmen Bearing Gifts","Fredric Brown"
13801,"George Muller of Bristol","Arthur T. Pierson"
13802,"The Jessica Letters: An Editor's Romance","Paul Elmer More"
13803,"The Huguenots in France","Samuel Smiles"
13804,"Stingaree","E. W. (Ernest William) Hornung"
13805,"Judith of the Cumberlands","Alice MacGowan"
13806,"Odd Numbers","Sewell Ford"
13807,"The Dakotan Languages, and Their Relations to Other Languages","Andrew Woods Williamson"
13808,"The Papers And Writings Of Abraham Lincoln, Volume One","Abraham Lincoln"
13809,"Over the Line","Harold M. Sherman"
13810,"Rainbow Hill","Josephine Lawrence"
13811,"The Girl from Sunset Ranch","Amy Bell Marlowe"
13812,"The Good Neighbors","Edgar Pangborn"
13813,"The Windy Hill","Cornelia Meigs"
13814,"Madge Morton's Victory","Amy D.V. Chalmers"
13815,"The Rover Boys at Big Horn Ranch","Edward Stratemeyer"
13816,"The Papers And Writings Of Abraham Lincoln, Volume Two","Abraham Lincoln"
13817,"Boy Scouts in the Canal Zone","G. Harvey Ralphson"
13818,"The Vicar of Bullhampton","Anthony Trollope"
13819,"On The Affinities of Leptarctus primus of Leidy","J. L. Wortman"
13820,"Clematis","Bertha B. Cobb"
13821,"The Dance Festivals of the Alaskan Eskimo","Ernest William Hawkes"
13822,"The Tale of a Trooper","Clutha N. Mackenzie"
13823,"Caps and Capers","Gabrielle E. Jackson"
13824,"The Papers And Writings Of Abraham Lincoln, Volume Three","Abraham Lincoln"
13825,"Children of the Desert","Louis Dodge"
13826,"Government Documents in Small Libraries","Charles Wells Reeder"
13827,"Fruits of Queensland","Albert Benson"
13828,"Turandot: The Chinese Sphinx","Johann Christoph Friedrich von Schiller"
13829,"Myths and Marvels of Astronomy","Richard A. Proctor"
13830,"If You Don't Write Fiction","Charles Phelps Cushing"
13831,"Pennsylvania Dutch Cooking","Unknown"
13832,"The Papers And Writings Of Abraham Lincoln, Volume Four","Abraham Lincoln"
13833,"Jim Spurling, Fisherman","Albert Walter Tolman"
13834,"The Story of a Common Soldier of Army Life in the Civil War, 1861-1865","Leander Stillwell"
13835,"The Crack of Doom","Robert Cromie"
13836,"The Sheep Eaters","William Alonzo Allen"
13837,"Monkey On His Back","Charles V. De Vet"
13838,"The Papers And Writings Of Abraham Lincoln, Volume Five","Abraham Lincoln"
13839,"Chips From A German Workshop. Vol. III.","F. Max Mueller"
13840,"The Papers And Writings Of Abraham Lincoln, Volume Six","Abraham Lincoln"
13841,"The Papers And Writings Of Abraham Lincoln, Volume Seven","Abraham Lincoln"
13842,"The Place of Honeymoons","Harold MacGrath"
13843,"The Condition and Tendencies of Technical Education in Germany","Arthur Henry Chamberlain"
13844,"Anna the Adventuress","E. Phillips Oppenheim"
13845,"How To Behave: A Pocket Manual Of Republican Etiquette, And Guide To Correct Personal Habits","Samuel R Wells"
13846,"Seasoning of Wood","Joseph B. Wagner"
13847,"A Black Adonis","Linn Boyd Porter"
13848,"Confessio Amantis","John Gower"
13849,"Early Australian Voyages","John Pinkerton"
13850,"Mother Earth, Vol. 1 No. 1, March 1906","Various"
13851,"Gambia","Frederick John Melville"
13852,"An Account of the Conquest of Peru","Pedro Sancho"
13853,"The Later Cave-Men","Katharine Elizabeth Dopp"
13854,"Pearls of Thought","Maturin M. Ballou"
13855,"Uncanny Tales","Various"
13856,"The Story of a Mine","Bret Harte"
13857,"The Trail of the Hawk","Sinclair Lewis"
13858,"Enthusiasm and Other Poems","Susanna Moodie"
13859,"A Pirate of Parts","Richard Neville"
13860,"Ruth Fielding At College","Alice B. Emerson"
13861,"Black Beaver","James Campbell Lewis"
13862,"Minnie's Pet Dog","Madeline Leslie"
13863,"Minnie's Pet Parrot","Madeline Leslie"
13864,"Minnie's Pet Monkey","Madeline Leslie"
13865,"Minnie's Pet Lamb","Madeline Leslie"
13866,"Under the Greenwood Tree","Thomas Hardy"
13867,"Minnie's Pet Horse","Madeline Leslie"
13868,"The Story of Madras","Glyn Barlow"
13869,"How to Read the Crystal","Sepharial"
13870,"The Brass Bell","Eugene Sue"
13871,"The Road to Oz","L. Frank Baum"
13872,"The Boy Scout Automobilists","Robert Maitland"
13873,"Our Little Brown House, A Poem of West Point","Maria L. Stewart"
13874,"The Island House","F. M. Holmes"
13875,"The Mirror of Taste, and Dramatic Censor","Samuel James Arnold"
13876,"Werwolves","Elliott O'Donnell"
13877,"Minna von Barnhelm","Gotthold Ephraim Lessing"
13878,"A Cousin's Conspiracy","Horatio Alger"
13879,"A Virginia Scout","Hugh Pendexter"
13880,"The Bounty of the Chesapeake","James Wharton"
13881,"Second Sight","Sepharial"
13882,"The Rose Garden Husband","Margaret Widdemer"
13883,"The Mystery of the Green Ray","William Le Queux"
13884,"Pictorial Composition and the Critical Judgment of Pictures","Henry Rankin Poore"
13885,"A Brief Commentary on the Apocalypse","Sylvester Bliss"
13886,"Zanoni","Edward Bulwer Lytton"
13887,"The Humbugs of the World","P. T. Barnum"
13888,"The Submarine Hunters","Percy F. Westerman"
13889,"Wilmshurst of the Frontier Force","Percy F. Westerman"
13890,"The Work Of Christ","A. C. Gaebelein"
13891,"Friendship Village","Zona Gale"
13892,"Two Daring Young Patriots","W. P.  Shervill"
13893,"The Book of Romance","Various"
13894,"Nuts for Future Historians to Crack","Various"
13895,"Terribly Intimate Portraits","Noel Coward"
13896,"The Professor at the Breakfast Table","Oliver Wendell Holmes (Sr.)"
13897,"The Ducks and Frogs,","Fanny Fire-Fly"
13898,"The Flaming Jewel","Robert W. Chambers"
13899,"Standards of Life and Service","T. H. Howard"
13900,"Up The Baltic","Oliver Optic"
13901,"Peter and Wendy","James Matthew Barrie"
13902,"Birds Illustrated by Color Photography [August, 1897]","Various"
13903,"The Motor Pirate","George Sidney Paternoster"
13904,"Celebrated Travels and Travellers","Jules Verne"
13905,"The Will to Believe","William James"
13906,"The Poet at the Breakfast Table","Oliver Wendell Holmes, Sr."
13907,"Plays","Leo Tolstoy"
13908,"The Strange Adventures of Captain Dangerous, Vol. 1 of 3","George Augustus Sala"
13909,"The Strange Adventures of Captain Dangerous, Vol. 2 of 3","George Augustus Sala"
13910,"The Strange Adventures of Captain Dangerous, Vol. 3 of 3","George Augustus Sala"
13911,"The Vicar of Wakefield","Oliver Goldsmith"
13912,"Making a Fireplace","Henry H. Saylor"
13913,"The Boy Crusaders","John G. Edgar"
13914,"Bookbinding, and the Care of Books","Douglas Cockerell"
13915,"At the Sign of the Jack O'Lantern","Myrtle Reed"
13916,"The Life and Times of John Wilkins","Patrick A. Wright-Henderson"
13917,"The Masque of the Elements","Herman Scheffauer"
13918,"Athelstane Ford","Allen Upward"
13919,"A Village of Vagabonds","F. Berkeley Smith"
13920,"Wit and Mirth: or Pills to Purge Melancholy, Vol. 5 of 6","Various"
13921,"The Life and Adventures of Baron Trenck","Baron Trenck"
13922,"Donahoe's Magazine, Volume 15, No. 2,  February 1886","Various"
13923,"The Girl Wanted","Nixon Waterman"
13924,"Piracy off the Florida Coast and Elsewhere","Samuel A. Green"
13925,"Black Spirits and White","Ralph Adams Cram"
13926,"History, Manners, and Customs of the North American Indians","George Mogridge"
13927,"The Life and Adventures of Baron Trenck","Baron Trenck"
13928,"The Pirates of Panama","A. O. (Alexandre Olivier) Exquemelin"
13929,"Sanctification","J. W. Byers"
13930,"A Daughter of Raasay","William MacLeod Raine"
13931,"Punch, or the London Charivari, Vol. 147, August 26th, 1914","Various"
13932,"Make or Break","Oliver Optic"
13933,"Principles of Mining","Herbert C. Hoover"
13934,"Privy Seal","Ford Madox Ford"
13935,"The Woman and the Right to Vote","Rafael Palma"
13936,"The Touchstone","Edith Wharton"
13937,"Love-Songs of Childhood","Eugene Field"
13938,"Saronia","Richard Short"
13939,"Studies in love and in terror","Marie Belloc Lowndes"
13940,"The Children's Book of Celebrated Pictures","Lorinda Munson Bryant"
13941,"A Woman at Bay","Nicholas Carter"
13942,"The Caravan Route between Egypt and Syria","Ludwig Salvator"
13943,"Manual of Military Training","James A. Moss"
13944,"Wanderings in the Orient","Albert M. Reese"
13945,"Punch, or the London Charivari, Vol. 104, May 13, 1893","Various"
13946,"Lord, Teach Us To Pray","Andrew Murray"
13947," The Complete Writings of Charles Dudley Warner Volume 1"," Charles Dudley Warner"
13948,"Jewish Fairy Tales and Legends","Gertrude Landa"
13949,"Norman Ten Hundred","A. Stanley Blicq"
13950,"The Captain's Bunk","M. B. Manwell"
13951,"Victorian Songs","Various"
13952,"The Crown of Wild Olive","John Ruskin"
13953,"Health on the Farm","H. F. Harris"
13954,"An Anarchist Woman","Hutchins Hapgood"
13955," The Complete Writings of Charles Dudley Warner Volume 2"," Charles Dudley Warner"
13956,"A Little Maid of Ticonderoga","Alice Turner Curtis"
13957,"Two Little Confederates","Thomas Nelson Page"
13958,"The Political History of England - Vol XI","George Brodrick"
13959,"Aunt Jane of Kentucky","Eliza Calvert Hall"
13960," The Complete Writings of Charles Dudley Warner Volume 3"," Charles Dudley Warner"
13961,"Turandot, Princess of China","Karl Gustav Vollmoeller"
13962,"Free Air","Sinclair Lewis"
13963,"More Trivia","Logan Pearsall Smith"
13964,"Charles I","Jacob Abbott"
13965,"Stories and Legends of Travel and History, for Children","Grace Greenwood"
13966,"Stories of Many Lands","Grace Greenwood"
13967," The Complete Writings of Charles Dudley Warner Volume 4"," Charles Dudley Warner"
13968,"The Picture of Dorian Gray","Oscar Wilde"
13969,"I'm a Stranger Here Myself","Dallas McCord Reynolds"
13970,"The Chautauqua Girls At Home","Pansy, AKA Isabella M. Alden"
13971,"The Putnam Tradition","Sonya Hess Dorman"
13972,"A Retrospect","James Hudson Taylor"
13973,"Travels in Peru, on the Coast, in the Sierra, Across the Cordilleras and the Andes, into the Primeval Forests","J. J. von Tschudi"
13974,"Reminiscences of two years with the colored troops","Joshua M. Addeman"
13975,"Burlesques","William Makepeace Thackeray"
13976,"Memorial Address on the Life and Character of Abraham Lincoln","George Bancroft"
13977,"Cully","Jack Egan"
13978,"The Way To Geometry","Peter Ramus"
13979,"Notes and Queries, Number 183, April 30, 1853","Various"
13980,"One Thousand Secrets of Wise and Rich Men Revealed","C. A. Bogardus"
13981,"Cornwall's Wonderland","Mabel Quiller-Couch"
13982,"The Bell-Ringer of Angel's and Other Stories","Bret Harte"
13983,"Memories of Bethany","John Ross Macduff"
13984,"Cerebrum","Albert Teichner"
13985,"Notes and Queries, Number 208, October 22, 1853","Various"
13986,"Ringfield","Susie Frances Harrison"
13987,"Punch, or the London Charivari, Vol. 104, May 20, 1893","Various"
13988,"Epistles from Pap: Letters from the man known as 'The Will","Andrew E. Durham. Compiled by J. Frank Durham, Edited by"
13989,"Notes and Queries, Index of Volume 3, January-June, 1851","Various"
13990,"A Question of Courage","Jesse Franklin Bone"
13991,"Alcohol: A Dangerous and Unnecessary Medicine, How and Why","Martha M. Allen"
13992,"Lewis and Clark","William R. Lighton"
13993,"The Ocean Wireless Boys And The Naval Code","John Henry Goldfrap, AKA Captain Wilbur Lawton"
13994,"The Ghost","William. D. O'Connor"
13995," Poems  [Series 1]"," Emily Dickinson"
13996,"Letters on the Nicobar islands, their natural productions, and the manners, customs, and superstitions of the natives","John Gottfried Haensel"
13997,"It Could Be Anything","John Keith Laumer"
13998,"The Story of the Kearsarge and Alabama","A. K. Browne"
13999,"Modern British Poetry","Various"
14000," Poems  [Series 2]"," Emily Dickinson"
14001,"The American Missionary--Volume 49, No. 02, February, 1895","Various"
14002,"Get Out of Our Skies!","E. K. Jarvis"
14003,"No Sect in Heaven","Anonymous"
14004,"Something Else Again","Franklin P. Adams"
14005,"The Genus Pinus","George Russell Shaw"
14006,"Narrative of the Captivity of William Biggs among the Kickapoo Indians in Illinois in 1788","William Biggs"
14007,"The Octopus","Frank Norris"
14008,"Meditations","Marcus Aurelius"
14009,"Hortus Vitae","Violet Paget, AKA Vernon Lee"
14010,"Village Improvements and Farm Villages","George E. Waring"
14011,"Ten Years Later","Alexandre Dumas, Pere"
14012,"A Red Wallflower","Susan Warner"
14013,"The Old Helmet, Volume I","Susan Warner"
14014,"Saint's Progress","John Galsworthy"
14015,"The Old Helmet, Volume II","Susan Warner"
14016,"Where the Souls of Men are Calling","Credo Harris"
14017,"Cases of Organic Diseases of the Heart","John Collins Warren"
14018,"Love--Marriage--Birth Control","Bertrand  Dawson"
14019,"A History of the French Novel, Vol. 1","George Saintsbury"
14020,"Five Tales","John Galsworthy"
14021,"Tin Foil and Its Combinations for Filling Teeth","Henry L. Ambler"
14022,"Successful Stock Speculation","John James Butler"
14023,"The Sense of Beauty","George Santayana"
14024,"The Dope on Mars","John Michael Sharkey"
14025,"Borneo and the Indian Archipelago","Frank S. Marryat"
14026,"A Pessimist","Robert Timsol"
14027,"The Works of Mr. George Gillespie (Vol. 1 of 2)","George Gillespie"
14028,"The Way to Peace","Margaret Deland"
14029,"Tom Brown at Oxford","Thomas Hughes"
14030,"The Blue Germ","Martin Swayne"
14031,"Vice Versa","F. Anstey"
14032,"The Trembling of a Leaf","William Somerset Maugham"
14033,"Hard Guy","H. B. Carleton"
14034,"Solander's Radio Tomb","Ellis Parker Butler"
14035,"Christopher and the Clockmakers","Sara Ware Bassett"
14036,"Crossing the Plains, Days of '57","William Audley Maxwell"
14037,"The Book of Snobs","William Makepeace Thackeray"
14038,"Lives of the Most Eminent Painters Sculptors and Architects","Giorgio Vasari"
14039,"The Temple of Nature; or, the Origin of Society","Erasmus Darwin"
14040,"Howard Pyle's Book of Pirates","Howard I. Pyle"
14041,"Poems for Pale People","Edwin C. Ranck"
14042,"The Corsair King","Mor Jokai"
14043,"John Jones's Dollar","Harry Stephen Keeler"
14044,"The Tale of Lal","Raymond Paton"
14045,"The Snare","Rafael Sabatini"
14046,"On the uncertainty of the signs of murder in the case of bastard children","William Hunter"
14047,"Rock of Ages","A. M. Toplady"
14048,"The Boy Scout Fire Fighters","Robert Maitland"
14049,"The Repairing & Restoration of Violins","Horace Petherick"
14050,"Night Bombing with the Bedouins","Robert Henry Reece"
14051,"The Clue of the Twisted Candle","Edgar Wallace"
14052,"The Bronze Age in Ireland","George Coffey"
14053,"The Gospel of Luke, An Exposition","Charles R. Erdman"
14054,"Omega, the Man","Lowell Howard Morrow"
14055,"The Sword and the Atopen","Taylor H. Greenfield"
14056,"The Backwash of War","Ellen N. La Motte"
14057,"The Looking-Glass for the Mind","M. Berquin"
14058,"The Pools of Silence","H. de Vere Stacpoole"
14059,"Over the Teacups","Oliver Wendell Holmes, Sr."
14060,"The Rat Racket","David Henry Keller"
14061,"Chasing an Iron Horse","Edward Robins"
14062,"The New Avatar and The Destiny of the Soul","Jirah D. Buck"
14063,"The Associate Hermits","Frank R. Stockton"
14064,"Notes and Queries, Number 76, April 12, 1851","Various"
14065,"Notes and Queries, Number 77, April 19, 1851","Various"
14066,"Notes and Queries, Number 78, April 26, 1851","Various"
14067,"Notes and Queries, Number 79, May 3, 1851","Various"
14068," Coral Reefs"," Charles Darwin"
14069,"Report of the Lords Commissioners for Trade and Plantations on the Petition of the Honourable Thomas Walpole, Benjamin Franklin, John Sargent, and Samuel Wharton, Esquires, and their Associates","Great Britain Board of Trade"
14070,"A History of the Nineteenth Century, Year by Year","Edwin Emerson"
14071,"The Rover Boys in Alaska","Arthur M. Winfield"
14072,"Determining the Age of Cattle by the Teeth","George W. Pope"
14073,"Northern Lights","Gilbert Parker"
14074,"The Jameson Satellite","Neil Ronald Jones"
14075,"The Cornwall Coast","Arthur L. Salmon"
14076,"Conversations on Chemistry, V. 1-2","Jane Marcet"
14077,"Historical Introductions to the Symbolical Books of the Evangelical Lutheran Church","Friedrich Bente"
14078,"Nan Sherwood at Pine Camp","Annie Roe Carr"
14079,"Stories of Authors, British and American","Edwin Watts Chubb"
14080,"Crooked Trails and Straight","William MacLeod Raine"
14081,"Report of the Juvenile Delinquency Committee","Ronald Macmillan Algie"
14082,"Song-waves","Theodore H. Rand"
14083,"Zehru of Xollar","Hal K. Wells"
14084,"Spectra","Arthur Ficke"
14085,"The New Education","Scott Nearing"
14086,"A Protegee of Jack Hamlin's and Other Stories","Bret Harte"
14087,"Emergency Childbirth","U. S. Department of Defence"
14088,"Flash-lights from the Seven Seas","William L. Stidger"
14089,"The Bradys Beyond Their Depth","Anonymous"
14090,"Ladies-In-Waiting","Kate Douglas Wiggin"
14091,"Greyfriars Bobby","Eleanor Atkinson"
14092,"Over the top with the 25th","R. Lewis"
14093,"Visions and Revisions","John Cowper Powys"
14094,"Shawn of Skarrow","James Tandy Ellis"
14095,"Conservation Reader","Harold W. Fairbanks"
14096,"The Gallery","Roger Phillips Graham"
14097,"A Syllabus of Kentucky Folk-Songs","Hubert G. Shearin"
14098,"Esoteric Christianity, or The Lesser Mysteries","Annie Besant"
14099,"Richard I","Jacob Abbott"
14100,"I and My Chimney","Herman Melville"
14101,"Atalantis Major","Daniel Defoe"
14102,"Wanted--7 Fearless Engineers!","Warner Van Lorne"
14103,"The Beautiful","Vernon Lee"
14104,"The Magic Soap Bubble","David Cory"
14105,"Lippincott's Magazine, December 1878","Various"
14106,"The Defence of Stonington (Connecticut) Against a British Squadron, August 9th to 12th, 1814","J. Hammond Trumbull"
14107,"Modern Women and What is Said of Them","Anonymous"
14108,"Jeff Briggs's Love Story","Bret Harte"
14109,"Humorous Ghost Stories","Dorothy Scarborough"
14110,"'Firebrand' Trevison","Charles Alden Seltzer"
14111,"Eric","Mrs. S. B. C. Samuels"
14112,"Jessie Carlton","Francis Forrester"
14113,"The Mirror of Taste, and Dramatic Censor, Vol. I, No. 4, April 1810","Various"
14114,"Advanced Chemistry","Jack G. Huekels"
14115,"Alien Offer","Al Sevcik"
14116,"Star Mother","Robert F. Young"
14117,"Captain Richard Ingle","Edward Ingle"
14118,"Elsie Venner","Oliver Wendell Holmes, Sr."
14119,"Famous Privateersmen and Adventurers of the Sea","Charles H. L. Johnston"
14120,"Wilson's Tales of the Borders and of Scotland Volume 17","Alexander Leighton"
14121,"The Atlantic Monthly, Volume 18, No. 109, November, 1866","Various"
14122,"Heroes and Hunters of the West","Anonymous"
14123,"A Place in the Sun","C.H. Thames"
14124,"The Coming of the Ice","G. Peyton Wertenbaker"
14125,"Summer Snow Storm","Adam Chase"
14126,"Punch, or the London Charivari, Vol. 147, August 19th, 1914","Various"
14127,"The Guardian Angel","Oliver Wendell Holmes, Sr."
14128,"Hester's Counterpart","Jean K. Baird"
14129,"Prisoners Their Own Warders","J. F. A. McNair"
14130,"Chapters in Rural Progress","Kenyon L. Butterfield"
14131,"The Old Tobacco Shop","William Bowen"
14132,"Salem Witchcraft and Cotton Mather","Charles W. Upham"
14133,"A Mortal Antipathy","Oliver Wendell Holmes, Sr."
14134,"Frank H. Nelson of Cincinnati","Warren C. Herrick"
14135,"Pan-Islam","George Wyman Bury"
14136,"With Haig on the Somme","D. H. Parry"
14137,"Across the Mesa","Jarvis Hall"
14138,"Killykinick","Mary T. Waggaman"
14139,"The Ghost Girl","H. De Vere Stacpoole"
14140,"The Brown Mouse","Herbert Quick"
14141,"B. C. 30,000","Sterner St. Paul Meek"
14142,"Pages From an Old Volume of Life","Oliver Wendell Holmes, Sr."
14143,"Holy in Christ","Andrew Murray"
14144,"A Short System of English Grammar","Henry Bate"
14145,"The Wind Before the Dawn","Dell H. Munger"
14146,"The Copper Princess","Kirk Munroe"
14147,"When Life Was Young","C. A. Stephens"
14148,"Montezuma's Castle and Other Weird Tales","Charles B. Cory"
14149,"The American Missionary -- Volume 50, No. 05, May, 1896","Various"
14150,"Peter Pan in Kensington Gardens","J. M. Barrie"
14151,"Peter Pan in Kensington Gardens","J. M. Barrie"
14152,"Far from the Madding Crowd","Thomas Hardy"
14153,"Dream Days","Kenneth Grahame"
14154,"Medical Essays","Oliver Wendell Holmes, Sr."
14155,"What the Moon Saw: and Other Tales","Hans Christian Andersen"
14156,"Jewish Children","Sholem Naumovich Rabinovich"
14157,"Narrative of Richard Lee Mason in the Pioneer West, 1819","Richard Lee Mason"
14158,"Notes and Queries, Number 203, September 17, 1853","Various"
14159,"Notes and Queries, Number 204, September 24, 1853","Various"
14160,"Notes and Queries, Number 206, October 8, 1853","Various"
14161,"Notes and Queries, Number 207, October 15, 1853","Various"
14162,"Notes and Queries, Number 210, November 5, 1853","Various"
14163,"Notes and Queries, Number 211, November 12, 1853","Various"
14164,"Notes and Queries, Number 212, November 19, 1853","Various"
14165,"Moby Dick; or The Whale","Herman Melville"
14166,"Notes and Queries, Number 213, November 26, 1853","Various"
14167,"Notes and Queries, Number 214, December 3, 1853","Various"
14168,"The Farmer Boy, and How He Became Commander-In-Chief","Morrison Heady"
14169,"Hellhounds of the Cosmos","Clifford Donald Simak"
14170,"Trade and Travel in the Far East","G. F. Davidson"
14171,"More Science From an Easy Chair","Sir E. Ray (Edwin Ray) Lankester"
14172,"My Shipmate--Columbus","Stephen Wilder"
14173,"The Lion's Skin","Rafael Sabatini"
14174,"Blackwood's Edinburgh Magazine, Volume 62, No. 382, October 1847","Various"
14175,"An Explorer's Adventures in Tibet","A. Henry Savage Landor"
14176,"A New Subspecies of the Black Myotis (Bat) from Eastern Mexico","E. Raymond Hall"
14177,"The Path of Dreams","Leigh Gordon Giltner"
14178,"A Chronicle of London from 1089 to 1483","Anonymous"
14179,"Multilingualism on the Web","Marie Lebert"
14180,"The Argonauts of North Liberty","Bret Harte"
14181,"From the Print Media to the Internet","Marie Lebert"
14182,"Interviews (1998-2001)","Marie Lebert"
